,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1,29.453613,31.398682,37.398193,30.196045,25.404785,23.780762,25.626953,29.059082,36.76587,46.414307,41.62964,47.67163,53.95215,56.13208,53.109375,49.972168,46.213135,44.151855,47.377197,46.46875,45.460938,36.62207,33.989014,29.42871,21.968506,18.34668,17.988037,17.52246,-9.39502,-12.610107,-13.287109,-8.322266,-8.214844,-8.87793,-10.71875,-10.667969
1,2,79.66553,72.98633,34.06421,22.295166,19.474854,23.89746,28.32129,33.07495,34.578857,29.652344,44.83716,25.259033,31.769531,34.29297,45.54004,41.369385,35.826904,38.585205,35.43799,37.49243,41.03882,37.46167,36.73291,29.421387,22.642578,17.480957,17.23462,18.008057,19.957764,25.874756,32.155273,30.50708,36.296875,34.612793,35.16626,34.16748
2,3,14.438477,14.268555,14.622803,17.77539,17.338867,17.480469,17.559814,17.57373,18.190674,19.251709,19.542236,19.314697,18.974854,17.98291,16.855469,20.725586,22.423828,22.739746,22.071533,21.72876,20.579102,20.004883,20.121338,17.991455,15.693115,15.188477,13.861816,14.160889,16.673096,18.354004,17.191895,17.043701,11.494141,11.513916,12.005615,10.923828
4,5,91.53784,83.08911,82.992676,98.78418,115.28931,129.10596,139.5227,143.48804,139.1709,141.14844,144.83081,148.63745,144.55151,130.60645,158.57593,187.02441,206.14795,251.13281,290.6819,320.25903,330.9624,361.92236,370.85864,378.5774,375.20532,363.76904,359.9297,352.31372,346.8921,330.51074,326.96997,286.9231,218.48364,180.09473,142.03003,133.6206
5,6,20.481934,24.973877,27.616455,23.111572,28.779785,26.936768,38.025146,33.762207,38.051025,39.78003,39.06372,22.8208,14.633789,7.0703125,7.415039,8.803223,8.352295,6.652588,12.174805,22.249023,40.91748,49.666016,48.13672,46.226562,43.36377,47.280518,48.614258,58.494385,62.26245,67.964355,73.50049,68.90405,51.1604,52.753662,55.613037,53.141113
6,7,42.80542,43.248047,46.087646,46.776367,40.982666,30.29419,26.26831,88.05054,70.14307,70.80542,66.25537,64.61279,60.674316,56.47412,51.333496,52.29077,55.439453,52.73169,50.66797,52.77661,54.02954,54.785645,46.9104,38.69165,28.025635,24.566162,20.38501,17.301025,12.351318,13.469971,11.381348,9.114746,14.899658,15.40918,15.4626465,14.546631
7,8,4.171631,4.828369,4.286621,3.2580566,3.2236328,3.402588,3.8566895,4.255371,4.8237305,5.5515137,5.88208,6.0810547,6.508301,6.973877,8.281494,9.572998,10.092285,10.619873,11.005371,10.801025,10.372314,10.682861,10.518066,10.718994,11.830566,10.393066,11.58252,13.7092285,15.370361,17.606445,17.811523,16.83789,16.78833,15.656494,13.754883,14.874268
9,10,33.95581,36.942627,38.238037,36.24243,32.97583,31.032227,28.691162,26.122559,26.111572,27.0354,26.325195,27.217285,30.085938,30.200684,31.56665,32.80127,33.55835,31.210693,28.218018,34.144043,29.740967,33.55127,28.212158,28.03833,30.5542,33.371094,33.35132,33.27124,42.64624,36.028564,37.620117,37.064453,39.541748,42.648193,40.31421,44.013184
10,11,-16.429932,-0.9729004,8.062012,22.177002,27.429443,28.230957,29.14087,27.313477,27.751465,26.636963,25.419434,26.934082,26.455078,30.429688,30.198242,27.095215,33.201904,33.411133,23.841309,10.858154,-0.57714844,-15.387695,-22.500732,-20.327637,-14.935791,-0.5827637,10.781494,26.800537,36.529785,36.717285,31.543701,26.928467,29.568848,24.956299,27.866455,29.30542
11,12,59.44922,64.366455,70.8457,80.20923,90.076416,75.716064,72.32373,70.35205,74.36011,77.22583,83.72217,84.12915,90.11865,90.37451,83.089355,73.85791,61.64673,58.270508,49.54541,46.748047,44.654297,5.038086,5.0908203,7.5251465,11.289307,17.090576,24.45752,26.945312,24.324707,28.013916,25.218506,33.72534,32.280273,97.866455,-7.2558594,-5.1835938
12,13,36.496826,34.338135,27.651367,29.736328,31.664795,27.442871,25.866455,30.550293,33.372314,30.151855,36.934814,36.566895,36.12451,35.089355,31.614502,30.20996,32.85132,32.143066,30.968506,34.060303,37.45874,35.204346,34.27588,34.40332,43.016357,45.87207,42.1416,42.903076,42.263184,41.45923,42.181396,46.422363,46.985107,46.56201,41.748047,37.225586
15,16,38.674316,35.00415,22.67871,12.19751,8.837402,6.6677246,9.368164,14.894775,20.848389,23.395996,27.28125,30.48999,29.304688,25.849365,28.312744,24.590332,28.069336,33.808594,37.44922,44.85962,44.297607,36.686768,34.989258,36.091797,33.909668,36.9458,32.625732,33.755127,27.996826,29.247559,25.518066,29.19629,30.389648,29.361572,30.473877,31.46045
16,17,48.557617,54.72998,59.13159,60.734375,60.856445,58.296143,33.249756,21.147705,20.040527,23.289307,24.481201,27.251465,33.31372,39.979736,52.491455,52.74951,55.523926,56.57422,56.58838,62.657227,59.208252,61.354492,65.766846,65.43042,66.86841,68.360596,72.91528,72.03735,73.79199,74.322266,59.31665,50.50586,46.84961,48.632812,50.67627,56.864746
18,19,24.326904,28.413086,32.62378,30.077637,32.641357,31.19336,29.738037,33.424316,28.531006,28.170898,31.474121,23.89331,27.197021,27.404541,27.799805,25.241455,25.968994,22.840088,22.101318,24.885498,29.395996,39.116943,28.095215,18.73706,20.280273,22.603027,20.980957,24.180664,25.484375,23.052979,24.952637,27.583008,29.350098,64.47485,68.88135,67.082275
19,20,36.32959,33.54419,36.75879,24.494385,27.148193,31.779053,29.052979,19.407715,16.72876,14.159424,14.143799,14.909912,22.911865,28.986084,36.480713,36.921387,38.02417,43.80493,37.46118,41.944824,40.00708,47.828125,49.409912,51.33545,52.17993,49.590088,49.31372,50.103027,43.625,49.58838,58.341064,60.696533,62.76587,66.637695,59.874756,54.07959
20,21,18.561035,31.257568,44.41919,53.448486,54.887695,52.861084,49.86255,49.44995,48.966553,48.79126,33.436035,36.139404,41.173096,52.021973,45.213867,45.295166,44.84912,47.348145,37.36914,37.775635,28.654053,22.433594,25.10083,35.287598,32.21216,35.335693,37.43164,40.12207,40.97119,42.256104,42.12451,42.079346,47.718994,49.34375,52.01831,58.30493
21,22,6.800049,6.4902344,6.3103027,11.680664,16.74292,16.531738,15.386719,15.6796875,16.644775,13.790039,14.117432,13.176025,17.968994,20.885986,23.441162,26.122803,28.340088,30.48413,31.85913,28.245117,26.860352,41.418213,40.938965,41.756836,42.802246,41.431152,46.518555,50.226807,53.440674,54.221924,55.509277,57.855225,60.117676,59.01538,48.98242,47.994385
22,23,75.38013,65.44751,67.63818,68.94751,68.02075,64.87671,65.345215,62.596924,58.751953,56.621094,61.252197,58.868896,66.06665,60.64795,62.020264,69.58472,64.948,60.930176,63.299072,61.21704,63.18164,67.524414,73.90088,66.96631,53.933838,56.551514,-14.845703,-6.840576,-8.033203,-2.9543457,0.5969238,3.637207,3.9685059,7.604492,15.340332,12.143066
25,26,44.70923,45.239502,45.259033,43.78296,46.04126,40.092773,31.519287,13.294189,9.489502,5.9191895,4.269287,4.0751953,9.583984,20.211914,27.92041,29.230713,26.873535,25.078857,23.784912,25.486572,27.037842,31.230957,30.693604,30.959717,32.20996,32.672607,28.405273,27.622803,26.703613,26.62915,24.292969,21.091797,17.097168,18.765625,16.452393,17.953125
26,27,67.170166,68.28345,72.468506,82.274414,84.5166,90.01636,96.31445,99.31958,97.6167,99.47412,105.76807,107.543945,103.177,105.40161,104.20581,105.207275,104.06616,108.42529,106.43457,101.65674,102.47339,105.24658,103.84033,100.51416,98.99658,98.61694,99.568115,94.595215,100.06836,102.39038,95.26514,91.82251,92.13306,87.73657,89.58667,88.06665
27,28,39.46411,38.764404,37.62671,38.86548,40.54297,42.387207,44.55298,45.07129,41.633057,42.590576,40.770752,39.898438,41.36841,43.243164,42.630127,54.40381,52.180176,55.395508,54.299072,48.824463,48.33838,48.83252,51.508057,52.65088,51.860596,50.74756,44.458984,45.75757,35.556885,31.961426,23.296387,16.378906,7.4645996,8.791992,10.595215,11.017334
28,29,18.754883,19.901855,20.19165,22.354492,27.42212,24.375732,22.104248,21.259521,22.019043,21.838867,19.291748,20.462646,17.815186,72.19653,90.8042,145.65283,160.19556,22.651367,22.399414,21.135742,21.060303,24.641846,36.48706,40.575195,43.39038,44.66797,45.027344,42.916504,45.68872,44.624268,43.916748,44.110107,49.077393,61.215576,65.647705,68.98169
29,30,4.1064453,5.803955,6.0893555,9.824951,9.556152,9.850586,11.448242,13.738525,12.8498535,10.282471,8.39209,12.6953125,13.893066,10.647705,9.669189,8.449463,9.731689,10.651367,10.8671875,11.718018,13.330078,13.057861,13.484619,14.251465,15.743408,16.166992,11.453613,14.791992,11.88208,9.795654,7.684082,7.024658,9.21167,11.0563965,11.404541,13.397461
30,31,89.18799,91.78125,91.96777,87.778564,81.06885,71.54126,77.90991,74.05249,66.82788,67.45825,63.356934,60.44629,55.60547,57.99707,51.8479,54.84839,49.59204,49.277344,46.178955,44.616943,46.59497,44.159668,23.74585,8.879395,8.348633,9.292969,10.7146,5.963867,1.2912598,1.9094238,0.5419922,1.4580078,4.6694336,8.756836,6.1220703,6.692627
