,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1,283.33325,283.33325,283.33325,283.32788,283.3308,283.32788,283.32788,283.32788,283.32788,283.32202,283.32202,283.29565,283.30933,283.30933,283.24487,283.24097,283.22827,283.17358,282.812,283.2378,283.313,283.38867,283.38867,283.45703,283.57617,283.71387,283.7871,283.94434,284.44336,284.8418,285.09473,285.1494,285.20312,285.5039,285.70996,285.91504
2,3,278.77612,278.77612,278.78687,278.77612,278.69995,279.06323,279.19604,279.22046,279.11597,279.0476,279.06226,279.24585,279.41772,279.36792,279.5808,279.78198,279.96753,280.114,280.22144,280.323,280.4109,280.50854,280.51733,280.46753,280.42554,280.3689,280.3435,280.31323,280.31323,280.5398,280.61597,280.64722,280.7644,280.89136,281.2146,285.25586
3,4,284.6997,284.79834,285.1372,285.396,285.5249,285.77588,285.87256,285.98877,286.17432,286.354,286.44873,286.8286,287.0288,287.1499,287.18896,287.60498,287.81006,288.02393,288.1577,288.1577,288.1577,288.1577,288.4204,288.64307,288.9673,289.06787,289.19482,289.33716,289.9475,290.1194,290.4944,290.7688,291.3108,291.57153,291.6643,291.68774
5,6,284.6631,284.9297,285.16113,285.333,285.43457,285.50098,285.66504,285.72656,286.16406,286.41577,286.41577,286.61792,286.61792,286.80835,286.80835,287.03296,287.38843,287.8181,287.8181,288.36108,288.5935,288.7566,289.0017,289.1228,289.1228,289.1228,289.1228,289.1228,289.1228,289.21362,289.99683,292.89502,292.89502,292.89502,292.89502,293.0337
6,7,288.2732,288.29077,288.3191,288.28882,288.41382,288.52124,288.7234,288.8396,289.07886,291.02222,291.29272,291.5193,291.77905,291.78687,292.02124,292.22437,292.2556,292.5713,292.9131,292.9131,292.85352,293.07617,293.1631,293.1797,293.04883,292.90625,292.90625,292.90625,292.87305,292.78027,292.79004,292.79004,292.79004,292.79004,292.79004,292.79004
7,8,271.45996,271.45996,271.45996,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,284.28027
10,11,280.0984,280.0984,280.0984,280.1433,280.12085,279.95093,279.95093,280.0066,280.01538,279.98706,280.21753,280.07104,279.94507,279.74194,279.8142,279.88354,279.98413,279.70776,279.3689,279.11987,278.90503,278.77124,278.60718,278.35327,278.14136,278.1316,277.99097,279.1902,279.85522,280.16187,280.37866,280.5476,280.79443,280.79443,282.82764,284.16162
11,12,275.90356,275.90356,275.90356,275.90356,275.90356,275.90356,275.90356,276.0979,276.43677,276.56177,276.72583,277.00317,280.57764,280.57764,280.57764,280.59717,280.59717,280.62842,280.74463,280.80908,280.56006,280.50635,280.6128,280.7649,281.12817,283.39404,284.46533,284.85986,285.44482,286.08252,286.44385,286.8911,287.27295,287.43115,287.5952,287.9253
12,13,283.43726,283.70093,284.0515,284.2351,284.5027,284.79663,285.10107,285.14404,285.45752,285.7495,286.08545,286.36182,286.41357,286.45166,286.65088,286.94873,287.65674,288.18408,288.5874,289.04736,289.6919,290.23584,290.83447,291.41748,292.18896,292.33936,292.58643,292.77686,292.89795,292.9878,293.1062,293.1482,293.25757,293.38745,293.48022,293.48022
13,14,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045
