,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1,281.2395,281.26196,281.3352,281.3484,281.3484,281.3484,281.3484,281.30444,281.21753,281.08862,281.01245,280.906,280.87378,280.79663,280.62378,280.3982,280.12476,279.65112,278.312,279.854,280.63623,281.04492,281.27832,281.2129,281.41504,281.29492,281.37207,281.15723,280.65625,279.99707,279.6377,279.37402,278.9668,278.49902,277.77734,277.60352
2,3,272.18433,272.62183,272.87085,272.96948,272.77515,272.614,272.50952,272.406,272.33374,272.29956,272.26636,272.26636,272.239,272.21362,272.17554,272.14722,272.1316,272.10034,272.07593,272.1023,272.11206,272.0857,272.04565,272.1853,272.2185,272.20972,272.21948,272.35913,272.35913,272.71558,272.9734,273.24683,273.82007,274.239,274.7771,282.5371
3,4,281.7622,281.9917,282.36572,282.21924,282.01416,281.87744,281.81494,281.84814,281.8042,281.45068,281.19482,281.9536,282.3247,282.3247,282.3247,282.77686,282.77686,282.77686,282.77686,283.23486,283.51416,283.62256,283.63232,283.63232,283.66064,283.8003,283.8003,283.88892,283.4934,279.56372,275.71118,275.74634,275.27954,273.25415,272.6067,272.6067
5,6,281.62695,281.78418,281.93652,281.42676,280.89648,279.79492,278.7666,278.2744,278.1582,277.86597,277.86597,277.63843,277.56128,277.2517,277.1814,277.3474,277.70874,277.8689,277.8689,278.55347,277.73608,276.0984,275.35718,274.77905,273.7312,271.5017,271.4607,271.4607,271.45972,271.45972,271.45972,271.75146,272.02393,271.46045,271.46045,271.46143
6,7,284.5183,284.56128,284.61597,284.6853,284.73218,284.77905,285.02905,285.2273,285.29663,286.5105,286.82983,287.05933,287.26733,287.27905,287.406,287.50366,287.86304,288.3457,288.3457,288.36426,288.29785,288.38965,285.80762,281.45117,278.49805,276.29102,274.69238,274.42188,274.42188,274.42188,274.42188,274.42188,274.08496,273.7207,273.64355,273.5293
7,8,271.45996,271.45996,271.45996,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,281.18848
10,11,272.40015,273.2605,273.2185,272.80444,272.53296,272.0359,271.72046,271.6433,271.54956,271.5398,271.5398,271.5398,271.5398,271.5398,271.5398,271.5398,271.5398,271.5398,271.5398,271.5398,271.5398,271.55444,271.6609,271.90894,271.90894,271.90894,271.90503,271.8484,271.8025,271.70483,271.65405,271.8064,271.98486,272.38135,278.5122,281.0503
11,12,271.4602,271.4602,271.4602,271.4602,271.4602,271.4602,271.4602,271.4602,271.4602,271.4602,271.4602,271.4602,274.2876,274.14404,274.08154,273.9536,273.7339,273.83447,273.83936,274.10107,274.6831,274.67822,274.4995,275.27954,275.97485,277.67432,281.14502,281.41553,281.41553,281.52295,281.77588,282.10107,282.10596,281.90088,281.67822,281.72314
12,13,277.58667,279.70093,280.63257,280.76733,280.8015,280.9568,281.2505,281.16943,281.20654,281.0249,281.08447,281.00146,280.83643,280.43213,280.24072,279.96826,279.83643,280.06592,280.5923,282.06006,282.4702,283.65674,284.61963,286.41064,287.48975,287.9126,288.12158,288.46045,288.61865,288.63037,288.79858,288.8269,288.865,288.95093,289.05835,289.05835
13,14,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.45972,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045,271.46045
