,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7
0,9.357604223450172,4.520764518616068,-3.036836002899301,1.657324258952088,0.37339674789361527,-1.1128044176091776,0.6168171266709737
1,9.039770472683513,4.10411332919702,-2.483713995344726,1.3240010039543195,0.21386803159402656,-0.6176894627107687,0.5693227787162334
2,8.795891519893129,3.708788343538539,-2.1040661477030858,0.8695968342903212,0.17823739487619283,-0.24998840117905533,0.34360894650597185
3,8.522430105350592,3.193501256948033,-1.1159454328257141,-0.039279788829905786,-0.14740377671855495,0.6952176770360121,-0.2218149785169542
4,8.147996652609999,2.7136269308255545,-0.601520688545287,-0.18812013375654502,-0.3248014637243554,0.9169304933122288,-0.28133853194473674
5,7.779140203969788,2.376958423600381,-0.33109831831651515,-0.43180270645503205,-0.2718380229622747,1.0586352446741454,-0.5625526622571946
6,7.272644354174525,1.953183771723734,0.04562434080985315,-0.527217772788049,-0.24139449312340536,1.3974413966627401,-0.5314612101903458
7,6.94130992586224,0.902006315749083,1.152948891657277,-1.2136344802031414,-0.46531084971406195,0.03721983659500031,-0.5537648033124333
8,6.432499859007413,0.5909634670874524,1.2624261050718248,-1.3558990090845604,-0.19285703648070654,0.1683269859684335,-0.4901654484872021
9,5.783608510408035,-0.25960768230753395,1.671197768035575,-1.4284178071424845,-0.20022565016883295,-0.5342485553114587,-0.10726271402253683
10,5.277163365857564,-0.6965504548873231,1.927966656378355,-1.2037072502676334,0.00862814623612601,-0.6190485705191239,0.037124866019327525
11,4.669385193875981,-1.044454057126211,2.1089837482046536,-1.2893571324608053,0.071283348995334,-0.6644167793816295,0.250651486578232
12,4.063227046579336,-1.4278997985458404,2.267867775551346,-1.3619187638582533,0.20960630518147436,-0.44100822709300963,0.2660499928783467
13,3.4124023360434146,-2.4769310488287033,1.8255543920645545,-0.35690525977228144,0.621878992144922,-0.634892071467241,0.9216467273808602
14,2.6187126883196825,-3.123794425027487,1.8852071642365877,0.19434775210731006,0.5744395835647507,-0.24557719798672145,0.5173919831070654
15,2.027091120698838,-3.441905939688984,1.2712409655962786,0.9978895228796103,0.5799000688894043,-0.38534492018681354,0.3488356980642691
16,1.4428411253698696,-3.613999718267691,1.2024311029996084,1.2851190389843192,0.6213485278040134,0.021187262628522385,0.0496805719486823
17,0.740621850284873,-3.824680523909553,1.0079119327253114,1.5308840351498083,0.4368279650045031,0.20566158186436495,-0.18236624095505122
18,0.20283456681201484,-4.031825110819861,0.6539353198332085,1.7733863446946703,0.40842657851934894,0.35296573781232093,-0.5757947630946355
19,-0.7546564785731299,-3.9934053965792824,0.4697053665828037,1.9544220018159681,-0.010889310404069453,0.38573675164108207,-0.6781452373412249
20,-1.249510693786108,-3.876966809678403,0.13408566576152373,1.6152402449789471,0.16220738381887845,0.5560716840462406,-0.77238399453874
21,-2.4647794805182857,-3.7072114764646398,-1.3612631572398368,0.37794859973531253,-1.7960149846857587,-0.2186675249415396,0.5459010926981257
22,-3.246310962264141,-3.4711641888940603,-1.6130755690435439,0.13393199056761973,-1.6123109181703321,-0.04518245248117408,0.3821857637145171
23,-3.9152959483836454,-3.0056249198976404,-1.779475437510162,-0.5712494415998767,-1.2539517096960537,-0.025808252587483118,0.40639664358300226
24,-4.587827745505627,-2.4913543756593284,-2.208072774581492,-0.7627179397800571,-0.9272368235772555,-0.30035179192028016,-0.0011617712781921883
25,-5.232815789858401,-1.992853107409037,-2.0928492089892514,-1.083632330230328,-0.6581222428569189,-0.0761536901824686,-0.13192578628464494
26,-5.689118136949362,-1.381663667974567,-2.114266288152912,-1.1467563569483328,-0.0148939417529784,-0.23322947887023082,-0.3533027119000085
27,-6.399519377254413,-0.8933314431611976,-2.0681829505411904,-0.7853965843277474,0.7225887351099148,-0.0969388775703917,-0.2544179989678918
28,-6.978095403179525,-0.2912552953303066,-1.749110735750081,-0.7836835266749329,1.0115992628481216,-0.039265952500505394,-0.35427641810311566
29,-7.621612901947006,0.47920420628916216,-1.5626015323610476,-0.7852017819989521,1.4848078061353647,0.04521385187041634,-0.40362392616798887
30,-8.040387782622917,1.6460982313634647,-0.6612860814081296,-0.4914459085732907,1.5543899112478823,0.26241186764273716,0.23551176199328042
31,-8.487874101543865,2.4393788989586196,-0.35476954495235014,-0.5753440907128734,1.540010579106885,0.251270061077955,0.309894655522229
32,-8.704334654126537,3.3400086887451397,1.8021321596820672,0.17617108792494007,-0.10117210401678069,1.7068244722037402,1.8736101304386714
33,-9.35757383140433,4.632534712933568,2.4541432932574674,0.7810750327355781,-1.2381296372545738,0.32654550027880347,0.31776444178705127
34,-9.813289486191811,5.800153411245765,2.094073858284912,0.7079744678601385,-0.7756812508566282,-0.5409626296206195,-0.5357241195442646
35,-9.984172347141884,6.645194933636064,2.000697359431415,1.002375848834132,-0.5412111528072165,-1.3060811511950485,-1.00091135069968
